SURVEY_YEAR,SUM_POPFEMALE_CLUTCH0,SUM_POPFEMALE_CLUTCH1,SUM_POPFEMALE_CLUTCH2,SUM_POPFEMALE_CLUTCH3,SUM_POPFEMALE_CLUTCH4,SUM_POPFEMALE_CLUTCH5,SUM_POPFEMALE_CLUTCH6
1980,898547426,270333071,69507186,92704971,761278111,404254380,3232260878
1981,233325147,260441159,8420181,11700050,57464115,51733355,1658077303
1982,79852731,33663339,11652201,25216154,90080277,169364716,1987260293
1983,240477605,59845770,19370082,45783580,98044822,210230615,1032726142
1984,551857397,76451072,12810440,27205073,33784772,61323372,458443212
1985,213006037,2793271,1539486,2635965,3660394,33506399,59288477
1986,842125457,16443620,2245760,5251351,11636755,24229241,207608403
1987,2955461594,29151519,6363134,7923564,13786664,95993074,1887004706
1988,1045774453,19840672,15749462,10967538,25551703,62915136,2660591028
1989,564736099,327245797,38665374,149261170,222344050,386521204,3501873507
1990,1043885047,227728711,60587089,59616572,100777880,180942022,2379042369
1991,2270747748,427041279,86665004,36242051,365184354,598166291,2032073703
1992,1862158875,295107456,54153134,117110382,539995768,372022503,690495438
1993,2909240795,113522433,22398878,38641512,134931568,1392742468,694055117
1994,2684166219,20332782,17364649,18797503,118863602,1009166958,1020276716
1995,1021681026,69471284,37336978,66805917,113639441,1675335376,1146484517
1996,258410971,82794445,31640343,58771421,177777044,969697453,786484930
1997,142858643,159201374,45551366,108518224,158218898,704849804,824706650
1998,335978567,199640362,25450316,92706422,191925033,625263810,251690779
1999,187616163,131227259,16889965,21871952,83200553,223317940,74502855
2000,391861967,122478506,30846360,47141708,858068841,493507287,97010694
2001,470874364,64299185,14557049,34308094,91893270,821147272,217550167
2002,121065228,21159201,4953244,8438544,30942462,170662564,266674900
2003,542401502,29798478,11283264,45052970,250475159,189351189,154239463
2004,1375861103,124336787,33466955,64702219,104699557,447571069,157134668
2005,1512231164,90785984,29067606,12987901,63179637,442772268,472149456
2006,765749518,17233101,2918876,6001829,46451810,378452061,293206296
2007,620428605,68763767,34129659,41538685,116078308,522633423,56483802
2008,395932648,152100175,32791636,35266073,56613959,365159680,105793507
2009,1059873582,44206167,10687469,31750747,106364342,368040513,186199772
2010,3027579474,25687481,8972067,15511458,199904370,1049542504,478168565
2011,1175394358,108473054,33952801,31376009,110341431,1178014088,1674873652
2012,1165456295,214989408,25666358,47195337,185635898,1726838798,455734095
2013,1029439737,233480767,58123980,69671610,321873734,1135225371,403787745
2014,1590779770,150898057,49896306,143053114,343201470,872263740,256238200
2015,1461028466,130985195,36897226,64195958,159724226,614526902,232261971
2016,2131636106,35263802,21944753,53213294,128263526,376760251,202977873
2017,2494759861,45925211,53772339,52627464,287727059,1194606157,452244806
2018,2588700008,35182870,57568574,54346235,273634575,2431923264,429327662
2019,117294330,50116820,7275679,33536040,162145524,1351686582,436140045
2021,22583764,53137226,22853245,37442274,129019120,296171768,71153288
