year,Pribilof_red_king_crab,Pribilof_blue_king_crab,St_Matthew_blue_king_crab
1975,0,9.1,NA
1976,0.1,4,0.3
1977,0,11.8,NA
1978,0.4,3.9,1.5
1979,0.2,3,1.8
1980,0.4,6.2,2.5
1981,0.1,3.2,2.3
1982,0.3,2.1,5.9
1983,0.1,1.3,3.3
1984,0.1,0.6,1.5
1985,0,0.3,1.1
1986,0,0.5,0.4
1987,0,0.8,0.7
1988,0,0.2,1
1989,0.4,0.2,1.8
1990,0.1,0.6,2.3
1991,0.6,1.2,2.2
1992,1,1.2,2.3
1993,3.1,1.1,3.3
1994,2.4,0.9,2.3
1995,4.4,2.2,1.7
1996,0.5,1.3,3.1
1997,1.4,0.9,3.8
1998,0.4,0.8,2.8
1999,1.3,0.5,0.6
2000,1.3,0.5,0.7
2001,1.9,0.4,0.9
2002,1.9,0.2,0.6
2003,1.4,0.2,0.5
2004,0.8,0,0.6
2005,0.2,0.1,0.5
2006,1.2,0,1.2
2007,1.1,0.1,1.2
2008,1.1,0,1.5
2009,0.7,0.1,1.4
2010,1.2,0.1,2.5
2011,1,0.1,3.2
2012,1.2,0.2,1.8
2013,1.6,0.1,0.8
2014,2.6,0.1,1.8
2015,3.3,0.1,2
2016,1,0,1.2
2017,1,0.1,0.7
2018,0.2,0.1,0.7
2019,0.3,0.1,1.2
2020,NA,NA,NA
2021,1.1,0.1,0.7
