SURVEY_YEAR,NUM_MALE_GE25,CV_NUM_MALE_GE25,CI_NUM_MALE_GE25,NUM_MALE_LE94,CV_NUM_MALE_LE94,CI_NUM_MALE_LE94,NUM_MALE_GE95,CV_NUM_MALE_GE95,CI_NUM_MALE_GE95,NUM_MALE_GE78,CV_NUM_MALE_GE78,CI_NUM_MALE_GE78,NUM_MALE_GE102,CV_NUM_MALE_GE102,CI_NUM_MALE_GE102,NUM_MALE_GE102_NEW,CV_NUM_MALE_GE102_NEW,CI_NUM_MALE_GE102_NEW,NUM_MALE_GE102_OLD,CV_NUM_MALE_GE102_OLD,CI_NUM_MALE_GE102_OLD,NUM_MALE_95TO101,CV_NUM_MALE_95TO101,CI_NUM_MALE_95TO101,NUM_IMMATURE_FEMALE,CV_NUM_IMMATURE_FEMALE,CI_NUM_IMMATURE_FEMALE,NUM_MATURE_FEMALE,CV_NUM_MATURE_FEMALE,CI_NUM_MATURE_FEMALE
1980,2741280374,0.146846983,788995556.5,2567047139,0.155350091,781630371.3,194807158.6,0.170334515,65037470.47,513358088.1,0.177750163,178848988.3,116566124.9,0.158071827,36114607.97,79197906.27,0.208499382,32364920.43,37368218.68,0.170564183,12492412.22,78241033.69,0.213119604,32682408.31,898547426.2,0.21112964,371831588.9,4830338598,0.340065767,3219560289
1981,1655075477,0.162601981,527472360,1575406458,0.16965604,523863353.7,79791045.86,0.112949515,17664225.54,318814360,0.113558376,70959920.53,40286140.88,0.111426667,8798342.776,26720953.57,0.134461483,7042160.534,13565187.32,0.157563259,4189255.237,39504904.98,0.130372976,10094729.19,233325147.3,0.269873756,123417934.6,2047836164,0.177863457,713901029.9
1982,1923432512,0.125416799,472812265.9,1778983435,0.129501623,451547235.5,145270336.9,0.154356876,43950011.8,591121370.1,0.137422557,159217484.2,65044609.67,0.149721583,19087620.57,55758095.84,0.172412773,18842279.5,9286513.829,0.167662045,3051711.957,80225727.25,0.165795764,26070128.04,79852731.09,0.284536719,44533226.87,2317236982,0.16971103,770790921.6
1983,1507556726,0.136585943,403585671,1485994317,0.183256228,533742717.8,150305795.5,0.139824997,41192354.47,511713214.2,0.123609582,123975207.1,65569136.73,0.143941868,18498762.33,57836339.84,0.163407334,18523728.97,7732796.887,0.143749904,2178714.069,84736658.72,0.147082804,24428078.5,240477606.5,0.668737318,315200045,1466001017,0.212633603,610973313.5
1984,1389083911,0.181738173,494801161.5,1223644322,0.226060907,542171565,237627512.8,0.134765264,62766911.7,476087692.1,0.1139222,106304436.3,148290657.3,0.148936734,43288415.32,131547059,0.166793954,43004857.96,16743598.28,0.176716184,5799374.998,89336855.57,0.134352628,23525176.91,551857397.5,0.331594926,358666501.7,670017943.5,0.208510089,273822781.9
1985,542937009.9,0.130147995,138497839.7,444588146.2,0.155709779,135684375.4,105898640.2,0.112462125,23342788.77,195940215.4,0.111565532,42845941.78,73819338.87,0.115903768,16769641.54,65155893.33,0.122805756,15682976.69,8663445.536,0.146051263,2480002.03,32079301.33,0.121820653,7659526.036,213006037.2,0.259023425,108140164.4,103423989,0.220319955,44661282.51
1986,1245940598,0.204941368,500475750.4,1143066051,0.223080763,499792252.6,110574369.9,0.124758584,27038399.56,211178664.1,0.110451824,45717134.5,78151313.03,0.13069913,20020044.9,57297911.69,0.170762534,19177299.68,20853401.34,0.106642074,4358745.925,32423056.89,0.12970984,8242955.434,842125457.8,0.297450033,490960879.9,267415127.1,0.210799613,110487170.5
1987,3971080861,0.18073207,1406695261,3758580281,0.190524619,1403560072,215722534.8,0.11552642,48846438.07,493270055.9,0.10670139,103159897.2,130818332.3,0.110827593,28416630.5,101645841.5,0.13677339,27248794.86,29172490.74,0.147434141,8430001.372,84904202.55,0.132390509,22031400.7,2955461594,0.209916543,1215984549,2040222657,0.192062371,768026003.4
1988,3953294157,0.129317054,1002007574,3677862138,0.137575954,991731367.6,276915042.5,0.174579444,94753601.52,683764423.2,0.136010338,182278099.3,178454136.3,0.200569646,70153266.66,156307759.5,0.228338863,69954626.82,22146376.73,0.146335299,6351961.474,98460906.24,0.149013904,28757206.27,1045774453,0.225040331,461269200.2,2795615538,0.178017729,975431493.4
1989,3402481520,0.105827597,705749827.3,3110966325,0.113403069,691474531.1,292347493.3,0.105784055,60614378.27,882466949.1,0.114075754,197309441.8,161957045.1,0.102721815,32607582.49,129804508.4,0.119970388,30522486.47,32152536.73,0.134239617,8459642.65,130390448.2,0.119792457,30614792.64,564736098.2,0.236808678,262119441.7,4625911105,0.3769548,3417768414
1990,2970042628,0.115771137,673936616.5,2263916552,0.131325771,582728749.9,710409489.3,0.153672741,213974323.5,1348059101,0.136831578,361535826.2,395063785.3,0.149145785,115487312.5,366002740.3,0.160954287,115463031.8,29061045.06,0.150984602,8600029.806,315345704,0.168687513,104261970,1043885049,0.379333993,776122924.5,3008694645,0.23617232,1392717973
1991,3767949066,0.161486422,1192606321,3331816777,0.183308549,1197070979,618332094.4,0.148003781,179370356.3,1093772469,0.151968971,325790173.4,439700306.8,0.167182548,144080027,387325832.2,0.189176578,143615031.6,52374474.57,0.148456195,15239617.81,178631787.6,0.194161871,67979624.99,2270747749,0.175463378,780928816.5,3545372680,0.277853728,1930786230
1992,2986808289,0.209478587,1226317865,2776161438,0.230271411,1252970398,293232413.3,0.109049916,62674861.23,512942314.9,0.088957265,89434692.76,223327075.4,0.118121098,51704093.33,170955682.2,0.141086265,47274217.47,52371393.26,0.137175398,14080770.8,69905337.84,0.099760052,13668569.92,1862158876,0.169026084,616916707,2068884684,0.209366299,848983269.3
1993,4949460413,0.176252464,1709815000,4805538727,0.181846735,1712788196,182822685.5,0.116935218,41901684.59,355759966.3,0.103569907,72218212.05,127639550.8,0.115356737,28859200.86,90424528.05,0.142918613,25329762.32,37215022.8,0.15199602,11086809.31,55183134.66,0.130915198,14159649.52,2909240794,0.197868604,1128268935,2396291975,0.174196044,818152182.5
1994,4203956147,0.149093042,1228489992,4116854949,0.153780375,1240859339,106415361.9,0.106341522,22180088.26,320613820.4,0.083863906,52700337.38,73790860.79,0.115647027,16726039.6,45046460.06,0.156106568,13782814.64,28744400.72,0.141002381,7943936.708,32624501.07,0.116784501,7467670.725,2684166218,0.244628663,1286983025,2204802209,0.12782566,552387383
1995,3761733421,0.104059919,767233520.3,3635271918,0.107505939,765994107.4,127952732.2,0.175077973,43907341.9,515673369.9,0.12669211,128050224.4,67300769.6,0.15613619,20595848.05,45282375.68,0.208227309,18480893.41,22018393.92,0.175674491,7581417.464,60651962.57,0.216912694,25786114.02,1021681025,0.21787131,436286168.2,3109073510,0.135528676,825882489.4
1996,2611434624,0.089130341,456205793.2,2309820947,0.095403896,431917198.8,302399329.3,0.177559184,105239804.9,958645926.5,0.112652016,211667056.8,161409154.9,0.20616741,65223522.46,142376457.6,0.233290274,65101483.85,19032697.37,0.178599406,6662487.75,140990174.3,0.16470444,45514547.17,258410971.5,0.368951198,186868433.4,2107165631,0.164747924,680416280.8
1997,1651199658,0.088020244,284864433.5,1204421131,0.108818704,256884551.1,447141443.8,0.114571882,100410479.8,945797404,0.084700059,157013828.4,290755572.6,0.137455532,78333285.29,261042325.3,0.152969176,78265601.85,29713247.31,0.144089357,8391470.903,156385871.1,0.106103483,32522447.9,142858640.9,0.478357118,133941397.7,2001046321,0.207347181,813226175.8
